tempo, xaxle, yaxle, zaxle, service
2024-03-17 10:22:00,0.01,-0.05,-1.06,1
2024-03-17 10:22:02,-0.02,-0.03,-1.09,1
2024-03-17 10:22:04,0.01,-0.01,-1.05,1
2024-03-17 10:22:06,0.00,-0.00,-1.05,1
2024-03-17 10:22:08,-0.03,0.02,-1.07,1
2024-03-17 10:22:10,-0.03,-0.08,-1.17,1
2024-03-17 10:22:12,-0.04,-0.00,-1.06,1
2024-03-17 10:22:14,-0.02,0.04,-1.04,1
2024-03-17 10:22:16,-0.00,0.05,-1.04,1
2024-03-17 10:22:18,-0.00,0.01,-1.09,1
2024-03-17 10:22:20,-0.01,0.04,-1.05,1
2024-03-17 10:22:22,0.01,0.04,-1.07,1
2024-03-17 10:22:24,-0.02,0.11,-1.04,1
2024-03-17 10:22:26,-0.02,0.08,-1.08,1
2024-03-17 10:23:21,0.29,0.05,-0.44,2
2024-03-17 10:23:23,0.60,0.20,-0.81,2
2024-03-17 10:23:25,0.26,0.28,-1.77,2
2024-03-17 10:23:27,0.27,-0.13,-0.84,2
2024-03-17 10:23:29,0.64,0.59,-0.75,2
2024-03-17 10:23:31,0.20,0.12,-1.34,2
2024-03-17 10:23:33,0.59,0.32,-1.05,2
2024-03-17 10:23:35,0.06,0.68,-1.27,2
2024-03-17 10:23:37,0.14,-0.04,-0.97,2
2024-03-17 10:23:39,0.47,0.36,-1.17,2
2024-03-17 10:23:41,-0.05,0.25,-0.75,2
2024-03-17 10:23:43,0.13,0.47,-1.46,2
2024-03-17 10:23:45,0.15,0.72,-0.84,2
2024-03-17 10:23:47,0.52,0.85,-0.87,2
2024-03-17 10:23:49,0.58,0.37,-0.88,2
2024-03-17 10:24:07,-0.28,-0.13,-0.91,3
2024-03-17 10:24:09,0.42,-0.06,-1.03,3
2024-03-17 10:24:11,0.51,-0.12,-0.93,3
2024-03-17 10:24:13,1.03,-0.08,-0.59,3
2024-03-17 10:24:15,0.63,-0.05,-0.78,3
2024-03-17 10:24:17,0.77,-0.04,-0.77,3
2024-03-17 10:24:19,0.61,-0.03,-0.85,3
2024-03-17 10:24:21,0.29,0.04,-1.05,3
2024-03-17 10:24:23,0.91,0.26,-1.10,3
2024-03-17 10:24:25,0.46,0.00,-0.99,3
2024-03-17 10:24:27,0.89,0.21,-0.77,3
2024-03-17 10:24:29,0.24,-0.07,-1.02,3
2024-03-17 10:24:31,0.54,0.05,-0.92,3
2024-03-17 10:24:33,0.50,0.02,-1.01,3
2024-03-17 10:24:35,0.54,0.14,-1.04,3
